Apartment,Sleep_schedule,Noise_sensitivity,Cleanliness,Cleanliness_2,Cooking_at_home,Guests_over,Smoking,Alcohol,Vibe,Chores,Conflict,FlatmateFactors_Priority,Compatibility_Importance,Compatibility_OverallRating,Compat_DailyRoutines,Compat_Tidiness,Compat_Noise,Compat_Interaction,Compat_Conflict,Compat_Relaxedness,Unit,Gender,Age,Occupation,Nationality,LengthOfStay_days,RemainingStay_days,ApartmentSize,Emotional_Stability,Extraversion,Openness,Conscientiousness,Agreeableness,Noise_sensitivity_num,Cleanliness_num,Cleanliness_2_num,Cooking_at_home_num,Guests_over_num,Alcohol_num,Vibe_num,Chores_num,Compatibility_Importance_num,Compatibility_OverallRating_num,Smoking_num,Cluster_Task2,PC1,PC2,PC3,PC4,PC5,PC6,fit_distance
A.01,After 02:00,Neutral,Extremely important,Rarely,Several times per week,Never,Non-smoker,Often,Social & lively,Do them when asked,Compromise quickly,Being social and engaging,Moderately,Very compatible,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,Disagree,A.01.2,male,25.0,Employed,Poland,97,279,2,4.0,2.5,2.0,2.5,3.0,3,5,1,4,1,4,4,2,3,4.0,0,2,-0.9825970819071945,-0.8520043616673855,0.9894685022188603,1.1696939957291055,-0.3597817308942511,-0.6100265198506224,1.693063848470898
A.01,00:00-02:00,Neutral,Moderately important,Most of the time,Rarely,Rarely,Non-smoker,Often,Social & lively,Often take initiative,Try to solve problems through discussion,Respect for boundaries,Extremely,Very compatible,Agree,Strongly disagree,Neither agree nor disagree,Agree,Strongly disagree,Agree,A.01.1,unknown,19.0,Student,South Korea,55,309,2,2.0,2.5,3.5,3.0,3.0,3,3,4,2,2,4,4,4,5,4.0,0,1,-1.2872168571118177,0.6172900124043832,0.019740412427211466,-1.0444913298998526,-0.25764371959343085,1.2232274770515048,1.6930638484708977
A.02,00:00-02:00,Somewhat sensitive,Extremely important,Sometimes,Once per week,Never,Non-smoker,Sometimes,Very social,Do them when asked,Try to solve problems through discussion,Respect for boundaries,Not at all,Not at all compatible,Disagree,Agree,Agree,Disagree,Strongly agree,Strongly agree,A.02.2,male,28.0,Employed,Kyrgyzstan,55,309,2,2.5,2.5,3.0,3.0,3.5,4,5,2,3,1,3,5,2,1,1.0,0,2,-1.651590457868744,-0.9201713404814337,0.5859374220220737,-0.2973523627544129,-0.744004489632987,0.6510267471717566,1.4118698111704062
A.02,22:00-00:00,Neutral,Extremely important,Often,Every day,A few times per month,Non-smoker,Never,Very social,Do them when asked,Compromise quickly,Similar daily routines,Very,Very compatible,Agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,A.02.1,male,25.0,Student,Unknown,24,340,2,2.5,3.5,4.5,3.0,2.5,3,5,3,5,3,1,5,2,4,4.0,0,1,-1.817635770015448,-1.2253846477432306,-1.115469115599658,-1.088252553819009,1.0948096869309867,1.6263391851839175,1.4118698111704062
A.03,00:00-02:00,Neutral,Very important,Sometimes,Once per week,Once per week,Non-smoker,Sometimes,Mostly private,Take responsibility for most,Try to solve problems through discussion,Shared interests / personality fit,Slightly,Slightly compatible,Agree,Agree,Strongly disagree,Disagree,Disagree,Agree,A.03.3,male,20.0,Student,Spain,55,309,4,2.5,3.0,3.5,3.5,2.5,3,4,2,3,4,3,2,5,2,2.0,0,2,-1.266319357125742,-0.4979771417224071,-0.23615559883177228,-0.41294068610005125,-0.22298240177417983,0.354449350425989,1.0996611028845955
A.03,00:00-02:00,Neutral,Extremely important,Sometimes,Every day,Several times per week,Non-smoker,Rarely,Balanced,Often take initiative,Compromise quickly,Not important / flexible,Very,Moderately compatible,Strongly agree,Agree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,A.03.1,unknown,19.0,Student,South Korea,55,309,4,3.0,3.5,3.0,2.5,3.5,3,5,2,5,5,2,3,4,4,3.0,0,1,-1.4632162104491218,0.44126304269918804,-0.4556576629385743,0.44583738530861716,1.796825912304501,1.2060618941161316,1.5097918967789756
A.03,22:00-00:00,Neutral,Very important,Rarely,Once per week,A few times per month,Smoker,Sometimes,Social & lively,Do them when asked,Try to solve problems through discussion,Respect for boundaries,Very,Very compatible,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,A.03.2,female,21.0,Student,Germany,85,279,4,3.5,3.0,3.0,3.5,2.5,3,4,1,3,3,3,4,2,4,4.0,1,3,-1.238399260412782,-0.38678721937270877,1.2525586884063047,1.167131407951962,0.7683151014228923,-0.19043875520589543,2.109445927791265
A.03,00:00-02:00,Somewhat sensitive,Moderately important,Most of the time,Once per week,A few times per month,Non-smoker,Sometimes,Social & lively,Take responsibility for most,"Be direct, even if uncomfortable",Being social and engaging,Extremely,Slightly compatible,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,A.03.4,unknown,29.0,Employed,Italy,25,340,4,2.5,3.0,3.0,2.0,2.5,4,3,4,3,3,3,4,5,5,2.0,0,1,-1.5265764582799828,0.5067208906678327,-1.4034088567051604,-0.8077558558694523,-0.38895873844307166,1.6777687248179922,2.028751472984637
A.04,00:00-02:00,Somewhat sensitive,Extremely important,Rarely,Rarely,A few times per month,Non-smoker,Often,Balanced,Do my fair share,Avoid confrontation,Being social and engaging,Extremely,Moderately compatible,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Strongly agree,A.04.3,unknown,25.0,Student,Myanmar,55,36,3,2.5,4.0,3.5,3.5,3.5,4,5,1,2,3,4,3,3,5,3.0,0,3,0.34851695815413813,-0.7921384337250373,1.0029295934536198,-0.8236496038714578,2.6738715712048053,0.77437062202693,2.4327043445245145
A.04,00:00-02:00,Neutral,Moderately important,Often,Never,Once per week,Non-smoker,Sometimes,Mostly private,Take responsibility for most,Compromise quickly,Respect for boundaries,Moderately,Not at all compatible,Disagree,Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,A.04.2,unknown,17.0,Student,Azerbaijan,55,309,3,3.5,3.0,2.0,2.0,2.5,3,3,3,1,4,3,2,5,3,1.0,0,2,-1.8760890416894356,-0.31158931406515283,-0.6552537426023826,1.1704101037059231,-1.0298964907523729,0.5350298931339457,2.7939130537578016
