unit,apartment,age,gender,nationality,remainingstay_days,lengthofstay_days,extraversion,agreeableness,conscientiousness,emotional_stability,openness,sleep_schedule,noise_sensitivity,cleanliness,cleanliness_2,cooking_at_home,guests_over,smoking,alcohol,vibe,chores,conflict,flatmatefactors_priority,compatibility_importance,compatibility_overallrating,compat_dailyroutines,compat_tidiness,compat_noise,compat_interaction,compat_conflict,compat_relaxedness,sleep_schedule_num,noise_sensitivity_num,cleanliness_num,cleanliness_2_num,cooking_at_home_num,guests_over_num,smoking_num,alcohol_num,vibe_num,chores_num,conflict_num,compatibility_importance_num,compatibility_overallrating_num,compat_dailyroutines_num,compat_tidiness_num,compat_noise_num,compat_interaction_num,compat_conflict_num,compat_relaxedness_num,occupation,apartmentsize
PXA.01.2,PXA.01,25.0,male,Poland,279,97,2.5,3.0,2.5,4.0,2.0,After 02:00,Neutral,Extremely important,Rarely,Several times per week,Never,Non-smoker,Often,Social & lively,Do them when asked,Compromise quickly,Being social and engaging,Moderately,Very compatible,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,Disagree,4.0,3,5,1,4,1,0,4,4,2,2.0,3,4,4,3,3,1,4,2,Employed,2
PXA.01.1,PXA.01,19.0,unknown,South Korea,309,55,2.5,3.0,3.0,2.0,3.5,00:00-02:00,Neutral,Moderately important,Most of the time,Rarely,Rarely,Non-smoker,Often,Social & lively,Often take initiative,Try to solve problems through discussion,Respect for boundaries,Extremely,Very compatible,Agree,Strongly disagree,Neither agree nor disagree,Agree,Strongly disagree,Agree,3.0,3,3,4,2,2,0,4,4,4,3.0,5,4,4,1,3,4,1,4,Student,2
PXA.02.2,PXA.02,28.0,male,Kyrgyzstan,309,55,2.5,3.5,3.0,2.5,3.0,00:00-02:00,Somewhat sensitive,Extremely important,Sometimes,Once per week,Never,Non-smoker,Sometimes,Very social,Do them when asked,Try to solve problems through discussion,Respect for boundaries,Not at all,Not at all compatible,Disagree,Agree,Agree,Disagree,Strongly agree,Strongly agree,3.0,4,5,2,3,1,0,3,5,2,3.0,1,1,2,4,4,2,5,5,Employed,2
PXA.02.1,PXA.02,25.0,male,Unknown,340,24,3.5,2.5,3.0,2.5,4.5,22:00-00:00,Neutral,Extremely important,Often,Every day,A few times per month,Non-smoker,Never,Very social,Do them when asked,Compromise quickly,Similar daily routines,Very,Very compatible,Agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2.0,3,5,3,5,3,0,1,5,2,2.0,4,4,4,1,5,3,3,3,Student,2
PXA.03.3,PXA.03,20.0,male,Spain,309,55,3.0,2.5,3.5,2.5,3.5,00:00-02:00,Neutral,Very important,Sometimes,Once per week,Once per week,Non-smoker,Sometimes,Mostly private,Take responsibility for most,Try to solve problems through discussion,Shared interests / personality fit,Slightly,Slightly compatible,Agree,Agree,Strongly disagree,Disagree,Disagree,Agree,3.0,3,4,2,3,4,0,3,2,5,3.0,2,2,4,4,1,2,2,4,Student,4
PXA.03.1,PXA.03,19.0,unknown,South Korea,309,55,3.5,3.5,2.5,3.0,3.0,00:00-02:00,Neutral,Extremely important,Sometimes,Every day,Several times per week,Non-smoker,Rarely,Balanced,Often take initiative,Compromise quickly,Not important / flexible,Very,Moderately compatible,Strongly agree,Agree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,3.0,3,5,2,5,5,0,2,3,4,2.0,4,3,5,4,4,1,3,3,Student,4
PXA.03.2,PXA.03,21.0,female,Germany,279,85,3.0,2.5,3.5,3.5,3.0,22:00-00:00,Neutral,Very important,Rarely,Once per week,A few times per month,Smoker,Sometimes,Social & lively,Do them when asked,Try to solve problems through discussion,Respect for boundaries,Very,Very compatible,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,2.0,3,4,1,3,3,1,3,4,2,3.0,4,4,4,5,5,2,5,4,Student,4
PXA.03.4,PXA.03,29.0,unknown,Italy,340,25,3.0,2.5,2.0,2.5,3.0,00:00-02:00,Somewhat sensitive,Moderately important,Most of the time,Once per week,A few times per month,Non-smoker,Sometimes,Social & lively,Take responsibility for most,"Be direct, even if uncomfortable",Being social and engaging,Extremely,Slightly compatible,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,3.0,4,3,4,3,3,0,3,4,5,4.0,5,2,1,3,3,3,4,3,Employed,4
PXA.04.3,PXA.04,25.0,unknown,Myanmar,36,55,4.0,3.5,3.5,2.5,3.5,00:00-02:00,Somewhat sensitive,Extremely important,Rarely,Rarely,A few times per month,Non-smoker,Often,Balanced,Do my fair share,Avoid confrontation,Being social and engaging,Extremely,Moderately compatible,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Strongly agree,3.0,4,5,1,2,3,0,4,3,3,1.0,5,3,5,3,3,2,4,5,Student,3
PXA.04.2,PXA.04,17.0,unknown,Azerbaijan,309,55,3.0,2.5,2.0,3.5,2.0,00:00-02:00,Neutral,Moderately important,Often,Never,Once per week,Non-smoker,Sometimes,Mostly private,Take responsibility for most,Compromise quickly,Respect for boundaries,Moderately,Not at all compatible,Disagree,Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,3.0,3,3,3,1,4,0,3,2,5,2.0,3,1,2,2,3,5,3,4,Student,3
PXA.04.1,PXA.04,23.0,unknown,India,248,127,3.0,4.0,3.5,3.5,3.5,00:00-02:00,Neutral,Extremely important,Sometimes,Several times per week,Several times per week,Non-smoker,Sometimes,Very social,Do my fair share,Try to solve problems through discussion,Not important / flexible,Very,Very compatible,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Strongly disagree,Neither agree nor disagree,3.0,3,5,2,4,5,0,3,5,3,3.0,4,4,3,5,5,4,1,3,Student,3
