Apartment,IPIP_1,IPIP_2,IPIP_3,IPIP_4,IPIP_5,IPIP_6,IPIP_7,IPIP_8,IPIP_9,IPIP_10,Sleep_schedule,Noise_sensitivity,Cleanliness,Cleanliness_2,Cooking_at_home,Guests_over,Smoking,Alcohol,Vibe,Chores,Conflict,FlatmateFactors_Priority,Compatibility_Importance,Compatibility_OverallRating,Compat_DailyRoutines,Compat_Tidiness,Compat_Noise,Compat_Interaction,Compat_Conflict,Compat_Relaxedness
B.02,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,00:00-02:00,Somewhat sensitive,Extremely important,Rarely,Rarely,Rarely,Smoker,Rarely,Social & lively,Do them when asked,Try to solve problems through discussion,Respect for boundaries,Moderately,Slightly compatible,Agree,Agree,Agree,Strongly agree,Disagree,Agree
D.54,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Disagree,Neither agree nor disagree,00:00-02:00,Neutral,Extremely important,Rarely,Never,Several times per week,Non-smoker,Never,Social & lively,Do them when asked,Try to solve problems through discussion,Similar daily routines,Moderately,Moderately compatible,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree
FR.71,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Before 22:00,Neutral,Very important,Sometimes,Rarely,Once per week,Non-smoker,Never,Quiet & private,Avoid them,"Be direct, even if uncomfortable",Being social and engaging,Very,Slightly compatible,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
A.26,Agree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,22:00-00:00,Neutral,Extremely important,Most of the time,Several times per week,A few times per month,Non-smoker,Rarely,Mostly private,Do my fair share,Try to solve problems through discussion,Shared interests / personality fit,Moderately,Very compatible,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree
D.31,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Strongly agree,00:00-02:00,Somewhat insensitive,Extremely important,Most of the time,Several times per week,Rarely,Non-smoker,Often,Quiet & private,Do my fair share,Try to solve problems through discussion,Being social and engaging,Not at all,Not at all compatible,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Agree,Agree
D.13,Disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,22:00-00:00,Neutral,Moderately important,Rarely,Once per week,Once per week,Non-smoker,Very often,Quiet & private,Do them when asked,"Be direct, even if uncomfortable",Respect for boundaries,Very,Moderately compatible,Agree,Disagree,Agree,Strongly disagree,Agree,Agree
MO51,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,22:00-00:00,Somewhat insensitive,Very important,Often,Once per week,Never,Non-smoker,Rarely,Quiet & private,Often take initiative,Try to solve problems through discussion,Being social and engaging,Slightly,Very compatible,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree
C.32,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,22:00-00:00,Somewhat sensitive,Very important,Most of the time,Never,A few times per month,Non-smoker,Very often,Social & lively,Do my fair share,Compromise quickly,Respect for boundaries,Moderately,Extremely compatible,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
B.12,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,22:00-00:00,Neutral,Very important,Rarely,Several times per week,Rarely,Non-smoker,Often,Mostly private,Do my fair share,"Be direct, even if uncomfortable",Respect for boundaries,Moderately,Very compatible,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
E.22,Strongly disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,After 02:00,Neutral,Extremely important,Most of the time,Rarely,Several times per week,Non-smoker,Sometimes,Balanced,Take responsibility for most,Compromise quickly,Reliability in shared spaces,Very,Slightly compatible,Neither agree nor disagree,Strongly agree,Disagree,Agree,Agree,Neither agree nor disagree
